Name,Date of birth,Nationality,Team,League
Elye Wahi,2003-01-02,France,Montpellier HSC,Ligue 1
Wahbi Khazri,1991-02-08,Tunisia,Montpellier HSC,Ligue 1
Yanis Guermouche,2001-04-15,Algeria,Montpellier HSC,Ligue 1
Matz Sels,1992-02-26,Belgium,RC Strasbourg Alsace,Ligue 1
Alaa Bellaarouch,2002-02-01,Morocco,RC Strasbourg Alsace,Ligue 1
Alexandre Pierre,2001-02-25,Haiti,RC Strasbourg Alsace,Ligue 1
Abakar Sylla,2002-12-25,Cote d'Ivoire,RC Strasbourg Alsace,Ligue 1
Ismaël Doukouré,2003-07-24,France,RC Strasbourg Alsace,Ligue 1
Gerzino Nyamsi,1997-01-22,France,RC Strasbourg Alsace,Ligue 1
Lucas Perrin,1998-11-19,France,RC Strasbourg Alsace,Ligue 1
Steven Baseya,2005-01-14,France,RC Strasbourg Alsace,Ligue 1
Eduard Sobol,1995-04-20,Ukraine,RC Strasbourg Alsace,Ligue 1
Maxime Bastian,2001-05-09,France,RC Strasbourg Alsace,Ligue 1
Thomas Delaine,1992-03-24,France,RC Strasbourg Alsace,Ligue 1
Frédéric Guilbert,1994-12-24,France,RC Strasbourg Alsace,Ligue 1
Karol Fila,1998-06-13,Poland,RC Strasbourg Alsace,Ligue 1
Marvin Senaya,2001-01-28,France,RC Strasbourg Alsace,Ligue 1
Habib Diarra,2004-01-03,France,RC Strasbourg Alsace,Ligue 1
Ibrahima Sissoko,1997-10-27,France,RC Strasbourg Alsace,Ligue 1
Jean-Eudes Aholou,1994-03-20,Cote d'Ivoire,RC Strasbourg Alsace,Ligue 1
Jean-Ricner Bellegarde,1998-06-27,France,RC Strasbourg Alsace,Ligue 1
Sanjin Prcic,1993-11-20,Bosnia-Herzegovina,RC Strasbourg Alsace,Ligue 1
Jessy Deminguet,1998-01-07,France,RC Strasbourg Alsace,Ligue 1
Nordine Kandil,2001-10-31,Morocco,RC Strasbourg Alsace,Ligue 1
Mehdi Chahiri,1996-07-25,France,RC Strasbourg Alsace,Ligue 1
Habib Diallo,1995-06-18,Senegal,RC Strasbourg Alsace,Ligue 1
Emanuel Emegha,2003-02-03,Netherlands,RC Strasbourg Alsace,Ligue 1
Moïse Sahi Dion,2001-12-20,Cote d'Ivoire,RC Strasbourg Alsace,Ligue 1
Kévin Gameiro,1987-05-09,France,RC Strasbourg Alsace,Ligue 1
Lebo Mothiba,1996-01-28,South Africa,RC Strasbourg Alsace,Ligue 1
Manuel Neuer,1986-03-27,Germany,Bayern Munich,Bundesliga
Yann Sommer,1988-12-17,Switzerland,Bayern Munich,Bundesliga
Sven Ulreich,1988-08-03,Germany,Bayern Munich,Bundesliga
Matthijs de Ligt,1999-08-12,Netherlands,Bayern Munich,Bundesliga
Dayot Upamecano,1998-10-27,France,Bayern Munich,Bundesliga
Min-jae Kim,1996-11-15,"Korea, South",Bayern Munich,Bundesliga
Tarek Buchmann,2005-02-28,Germany,Bayern Munich,Bundesliga
Alphonso Davies,2000-11-02,Canada,Bayern Munich,Bundesliga
Raphaël Guerreiro,1993-12-22,Portugal,Bayern Munich,Bundesliga
Benjamin Pavard,1996-03-28,France,Bayern Munich,Bundesliga
Noussair Mazraoui,1997-11-14,Morocco,Bayern Munich,Bundesliga
Josip Stanisic,2000-04-02,Croatia,Bayern Munich,Bundesliga
Bouna Sarr,1992-01-31,Senegal,Bayern Munich,Bundesliga
Joshua Kimmich,1995-02-08,Germany,Bayern Munich,Bundesliga
Leon Goretzka,1995-02-06,Germany,Bayern Munich,Bundesliga
Ryan Gravenberch,2002-05-16,Netherlands,Bayern Munich,Bundesliga
Konrad Laimer,1997-05-27,Austria,Bayern Munich,Bundesliga
Jamal Musiala,2003-02-26,Germany,Bayern Munich,Bundesliga
Malik Tillman,2002-05-28,United States,Bayern Munich,Bundesliga
Paul Wanner,2005-12-23,Germany,Bayern Munich,Bundesliga
Arijon Ibrahimovic,2005-12-11,Germany,Bayern Munich,Bundesliga
Kingsley Coman,1996-06-13,France,Bayern Munich,Bundesliga
Gabriel Vidovic,2003-12-01,Croatia,Bayern Munich,Bundesliga
Leroy Sané,1996-01-11,Germany,Bayern Munich,Bundesliga
Serge Gnabry,1995-07-14,Germany,Bayern Munich,Bundesliga
Thomas Müller,1989-09-13,Germany,Bayern Munich,Bundesliga
Mathys Tel,2005-04-27,France,Bayern Munich,Bundesliga
Eric Maxim Choupo-Moting,1989-03-23,Cameroon,Bayern Munich,Bundesliga
Péter Gulácsi,1990-05-06,Hungary,RB Leipzig,Bundesliga
Janis Blaswich,1991-05-02,Germany,RB Leipzig,Bundesliga
Leopold Zingerle,1994-04-10,Germany,RB Leipzig,Bundesliga
Timo Schlieck,2006-03-02,Germany,RB Leipzig,Bundesliga
Josko Gvardiol,2002-01-23,Croatia,RB Leipzig,Bundesliga
Mohamed Simakan,2000-05-03,France,RB Leipzig,Bundesliga
Willi Orbán,1992-11-03,Hungary,RB Leipzig,Bundesliga
El Chadaille Bitshiabu,2005-05-16,France,RB Leipzig,Bundesliga
David Raum,1998-04-22,Germany,RB Leipzig,Bundesliga
Benjamin Henrichs,1997-02-23,Germany,RB Leipzig,Bundesliga
Lukas Klostermann,1996-06-03,Germany,RB Leipzig,Bundesliga
Xaver Schlager,1997-09-28,Austria,RB Leipzig,Bundesliga
Nicolas Seiwald,2001-05-04,Austria,RB Leipzig,Bundesliga
Amadou Haidara,1998-01-31,Mali,RB Leipzig,Bundesliga
Ilaix Moriba,2003-01-19,Guinea,RB Leipzig,Bundesliga
Kevin Kampl,1990-10-09,Slovenia,RB Leipzig,Bundesliga
Dani Olmo,1998-05-07,Spain,RB Leipzig,Bundesliga
Xavi Simons,2003-04-21,Netherlands,RB Leipzig,Bundesliga
Christoph Baumgartner,1999-08-01,Austria,RB Leipzig,Bundesliga
Fábio Carvalho,2002-08-30,Portugal,RB Leipzig,Bundesliga
Emil Forsberg,1991-10-23,Sweden,RB Leipzig,Bundesliga
Caden Clark,2003-05-27,United States,RB Leipzig,Bundesliga
Hugo Novoa,2003-01-24,Spain,RB Leipzig,Bundesliga
Loïs Openda,2000-02-16,Belgium,RB Leipzig,Bundesliga
Timo Werner,1996-03-06,Germany,RB Leipzig,Bundesliga
Benjamin Sesko,2003-05-31,Slovenia,RB Leipzig,Bundesliga
André Silva,1995-11-06,Portugal,RB Leipzig,Bundesliga
Yussuf Poulsen,1994-06-15,Denmark,RB Leipzig,Bundesliga
Gregor Kobel,1997-12-06,Switzerland,Borussia Dortmund,Bundesliga
Marcel Lotka,2001-05-25,Germany,Borussia Dortmund,Bundesliga
Alexander Meyer,1991-04-13,Germany,Borussia Dortmund,Bundesliga
Silas Ostrzinski,2003-11-19,Germany,Borussia Dortmund,Bundesliga
Nico Schlotterbeck,1999-12-01,Germany,Borussia Dortmund,Bundesliga
Niklas Süle,1995-09-03,Germany,Borussia Dortmund,Bundesliga
Mats Hummels,1988-12-16,Germany,Borussia Dortmund,Bundesliga
Soumaïla Coulibaly,2003-10-14,France,Borussia Dortmund,Bundesliga
Antonios Papadopoulos,1999-09-10,Germany,Borussia Dortmund,Bundesliga
Ramy Bensebaini,1995-04-16,Algeria,Borussia Dortmund,Bundesliga
Julian Ryerson,1997-11-17,Norway,Borussia Dortmund,Bundesliga
Marius Wolf,1995-05-27,Germany,Borussia Dortmund,Bundesliga
Thomas Meunier,1991-09-12,Belgium,Borussia Dortmund,Bundesliga
Mateu Morey Bauzà,2000-03-02,Spain,Borussia Dortmund,Bundesliga
Emre Can,1994-01-12,Germany,Borussia Dortmund,Bundesliga
Salih Özcan,1998-01-11,Turkey,Borussia Dortmund,Bundesliga
Abdoulaye Kamara,2004-11-06,France,Borussia Dortmund,Bundesliga
Marcel Sabitzer,1994-03-17,Austria,Borussia Dortmund,Bundesliga
Felix Nmecha,2000-10-10,Germany,Borussia Dortmund,Bundesliga
Ole Pohlmann,2001-04-05,Germany,Borussia Dortmund,Bundesliga
Julian Brandt,1996-05-02,Germany,Borussia Dortmund,Bundesliga
Giovanni Reyna,2002-11-13,United States,Borussia Dortmund,Bundesliga
Marco Reus,1989-05-31,Germany,Borussia Dortmund,Bundesliga
Karim Adeyemi,2002-01-18,Germany,Borussia Dortmund,Bundesliga
Jamie Bynoe-Gittens,2004-08-08,England,Borussia Dortmund,Bundesliga
Thorgan Hazard,1993-03-29,Belgium,Borussia Dortmund,Bundesliga
Donyell Malen,1999-01-19,Netherlands,Borussia Dortmund,Bundesliga
Julien Duranville,2006-05-05,Belgium,Borussia Dortmund,Bundesliga
Sébastien Haller,1994-06-22,Cote d'Ivoire,Borussia Dortmund,Bundesliga
Youssoufa Moukoko,2004-11-20,Germany,Borussia Dortmund,Bundesliga
Lukas Hradecky,1989-11-24,Finland,Bayer 04 Leverkusen,Bundesliga
Patrick Pentz,1997-01-02,Austria,Bayer 04 Leverkusen,Bundesliga
Niklas Lomb,1993-07-28,Germany,Bayer 04 Leverkusen,Bundesliga
Piero Hincapié,2002-01-09,Ecuador,Bayer 04 Leverkusen,Bundesliga
Edmond Tapsoba,1999-02-02,Burkina Faso,Bayer 04 Leverkusen,Bundesliga
Jonathan Tah,1996-02-11,Germany,Bayer 04 Leverkusen,Bundesliga
Odilon Kossounou,2001-01-04,Cote d'Ivoire,Bayer 04 Leverkusen,Bundesliga
Madi Monamay,2006-04-06,Belgium,Bayer 04 Leverkusen,Bundesliga
Alejandro Grimaldo,1995-09-20,Spain,Bayer 04 Leverkusen,Bundesliga
Jeremie Frimpong,2000-12-10,Netherlands,Bayer 04 Leverkusen,Bundesliga
Arthur,2003-03-17,Brazil,Bayer 04 Leverkusen,Bundesliga
Timothy Fosu-Mensah,1998-01-02,Netherlands,Bayer 04 Leverkusen,Bundesliga
Granit Xhaka,1992-09-27,Switzerland,Bayer 04 Leverkusen,Bundesliga
Noah Mbamba,2005-01-05,Belgium,Bayer 04 Leverkusen,Bundesliga
Joshua Eze,2003-03-20,Germany,Bayer 04 Leverkusen,Bundesliga
Exequiel Palacios,1998-10-05,Argentina,Bayer 04 Leverkusen,Bundesliga
Robert Andrich,1994-09-22,Germany,Bayer 04 Leverkusen,Bundesliga
Nadiem Amiri,1996-10-27,Germany,Bayer 04 Leverkusen,Bundesliga
Gustavo Puerta,2003-07-23,Colombia,Bayer 04 Leverkusen,Bundesliga
Florian Wirtz,2003-05-03,Germany,Bayer 04 Leverkusen,Bundesliga
Ayman Aourir,2004-10-06,Germany,Bayer 04 Leverkusen,Bundesliga
Amine Adli,2000-05-10,France,Bayer 04 Leverkusen,Bundesliga
Jonas Hofmann,1992-07-14,Germany,Bayer 04 Leverkusen,Bundesliga
Patrik Schick,1996-01-24,Czech Republic,Bayer 04 Leverkusen,Bundesliga
Adam Hlozek,2002-07-25,Czech Republic,Bayer 04 Leverkusen,Bundesliga
Sardar Azmoun,1995-01-01,Iran,Bayer 04 Leverkusen,Bundesliga
Victor Boniface,2000-12-23,Nigeria,Bayer 04 Leverkusen,Bundesliga
Kevin Trapp,1990-07-08,Germany,Eintracht Frankfurt,Bundesliga
Diant Ramaj,2001-09-19,Germany,Eintracht Frankfurt,Bundesliga
Jens Grahl,1988-09-22,Germany,Eintracht Frankfurt,Bundesliga
Simon Simoni,2004-07-14,Albania,Eintracht Frankfurt,Bundesliga
Robin Koch,1996-07-17,Germany,Eintracht Frankfurt,Bundesliga
Tuta,1999-07-04,Brazil,Eintracht Frankfurt,Bundesliga
Willian Pacho,2001-10-16,Ecuador,Eintracht Frankfurt,Bundesliga
Hrvoje Smolcic,2000-08-17,Croatia,Eintracht Frankfurt,Bundesliga
Jérôme Onguéné,1997-12-22,Cameroon,Eintracht Frankfurt,Bundesliga
Makoto Hasebe,1984-01-18,Japan,Eintracht Frankfurt,Bundesliga
Dario Gebuhr,2003-05-06,Germany,Eintracht Frankfurt,Bundesliga
Davis Bautista,2005-02-16,Ecuador,Eintracht Frankfurt,Bundesliga
Philipp Max,1993-09-30,Germany,Eintracht Frankfurt,Bundesliga
Christopher Lenz,1994-09-22,Germany,Eintracht Frankfurt,Bundesliga
Aurélio Buta,1997-02-10,Portugal,Eintracht Frankfurt,Bundesliga
Timothy Chandler,1990-03-29,United States,Eintracht Frankfurt,Bundesliga
Ellyes Skhiri,1995-05-10,Tunisia,Eintracht Frankfurt,Bundesliga
Kristijan Jakic,1997-05-14,Croatia,Eintracht Frankfurt,Bundesliga
Djibril Sow,1997-02-06,Switzerland,Eintracht Frankfurt,Bundesliga
Junior Dina Ebimbe,2000-11-21,France,Eintracht Frankfurt,Bundesliga
Hugo Larsson,2004-06-27,Sweden,Eintracht Frankfurt,Bundesliga
Sebastian Rode,1990-10-11,Germany,Eintracht Frankfurt,Bundesliga
Marcel Wenig,2004-05-04,Germany,Eintracht Frankfurt,Bundesliga
Mehdi Loune,2004-05-14,Germany,Eintracht Frankfurt,Bundesliga
Harpreet Ghotra,2003-01-17,Germany,Eintracht Frankfurt,Bundesliga
Jesper Lindström,2000-02-29,Denmark,Eintracht Frankfurt,Bundesliga
Mario Götze,1992-06-03,Germany,Eintracht Frankfurt,Bundesliga
Paxten Aaronson,2003-08-26,United States,Eintracht Frankfurt,Bundesliga
Faride Alidou,2001-07-18,Germany,Eintracht Frankfurt,Bundesliga
Jens Petter Hauge,1999-10-12,Norway,Eintracht Frankfurt,Bundesliga
Ansgar Knauff,2002-01-10,Germany,Eintracht Frankfurt,Bundesliga
Randal Kolo Muani,1998-12-05,France,Eintracht Frankfurt,Bundesliga
Rafael Borré,1995-09-15,Colombia,Eintracht Frankfurt,Bundesliga
Omar Marmoush,1999-02-07,Egypt,Eintracht Frankfurt,Bundesliga
Jessic Ngankam,2000-07-20,Germany,Eintracht Frankfurt,Bundesliga
Lucas Alario,1992-10-08,Argentina,Eintracht Frankfurt,Bundesliga
Igor Matanovic,2003-03-31,Croatia,Eintracht Frankfurt,Bundesliga
Ali Akman,2002-04-18,Turkey,Eintracht Frankfurt,Bundesliga
Nacho Ferri,2004-10-05,Spain,Eintracht Frankfurt,Bundesliga
Noel Futkeu,2002-12-06,Germany,Eintracht Frankfurt,Bundesliga
Koen Casteels,1992-06-25,Belgium,VfL Wolfsburg,Bundesliga
Pavao Pervan,1987-11-13,Austria,VfL Wolfsburg,Bundesliga
Philipp Schulze,2003-01-29,Germany,VfL Wolfsburg,Bundesliga
Niklas Klinger,1995-10-13,Germany,VfL Wolfsburg,Bundesliga
Micky van de Ven,2001-04-19,Netherlands,VfL Wolfsburg,Bundesliga
Maxence Lacroix,2000-04-06,France,VfL Wolfsburg,Bundesliga
Sebastiaan Bornauw,1999-03-22,Belgium,VfL Wolfsburg,Bundesliga
Moritz Jenz,1999-04-30,Germany,VfL Wolfsburg,Bundesliga
Cédric Zesiger,1998-06-24,Switzerland,VfL Wolfsburg,Bundesliga
Felix Lange,2004-03-13,Germany,VfL Wolfsburg,Bundesliga
Nicolas Cozza,1999-01-08,France,VfL Wolfsburg,Bundesliga
Ridle Baku,1998-04-08,Germany,VfL Wolfsburg,Bundesliga
Kilian Fischer,2000-10-12,Germany,VfL Wolfsburg,Bundesliga
Bartol Franjic,2000-01-14,Croatia,VfL Wolfsburg,Bundesliga
Mattias Svanberg,1999-01-05,Sweden,VfL Wolfsburg,Bundesliga
Maximilian Arnold,1994-05-27,Germany,VfL Wolfsburg,Bundesliga
Aster Vranckx,2002-10-04,Belgium,VfL Wolfsburg,Bundesliga
Yannick Gerhardt,1994-03-13,Germany,VfL Wolfsburg,Bundesliga
Kevin Paredes,2003-05-07,United States,VfL Wolfsburg,Bundesliga
Lukas Ambros,2004-06-05,Czech Republic,VfL Wolfsburg,Bundesliga
Jakub Kaminski,2002-06-05,Poland,VfL Wolfsburg,Bundesliga
Ulysses Llanez,2001-04-02,United States,VfL Wolfsburg,Bundesliga
Patrick Wimmer,2001-05-30,Austria,VfL Wolfsburg,Bundesliga
Vaclav Cerny,1997-10-17,Czech Republic,VfL Wolfsburg,Bundesliga
Maximilian Philipp,1994-03-01,Germany,VfL Wolfsburg,Bundesliga
Jonas Wind,1999-02-07,Denmark,VfL Wolfsburg,Bundesliga
Lukas Nmecha,1998-12-14,Germany,VfL Wolfsburg,Bundesliga
Tiago Tomás,2002-06-16,Portugal,VfL Wolfsburg,Bundesliga
Dzenan Pejcinovic,2005-02-15,Germany,VfL Wolfsburg,Bundesliga
Jonas Omlin,1994-01-10,Switzerland,Borussia Mönchengladbach,Bundesliga
Jan Olschowsky,2001-11-18,Germany,Borussia Mönchengladbach,Bundesliga
Tobias Sippel,1988-03-22,Germany,Borussia Mönchengladbach,Bundesliga
Moritz Nicolas,1997-10-21,Germany,Borussia Mönchengladbach,Bundesliga
Maximilian Brüll,2002-08-26,Germany,Borussia Mönchengladbach,Bundesliga
Nico Elvedi,1996-09-30,Switzerland,Borussia Mönchengladbach,Bundesliga
Maximilian Wöber,1998-02-04,Austria,Borussia Mönchengladbach,Bundesliga
Ko Itakura,1997-01-27,Japan,Borussia Mönchengladbach,Bundesliga
Marvin Friedrich,1995-12-13,Germany,Borussia Mönchengladbach,Bundesliga
Fabio Chiarodia,2005-06-05,Italy,Borussia Mönchengladbach,Bundesliga
Tony Jantschke,1990-04-07,Germany,Borussia Mönchengladbach,Bundesliga
Mamadou Doucouré,1998-05-21,France,Borussia Mönchengladbach,Bundesliga
Luca Netz,2003-05-15,Germany,Borussia Mönchengladbach,Bundesliga
Lukas Ullrich,2004-03-16,Germany,Borussia Mönchengladbach,Bundesliga
Joe Scally,2002-12-31,United States,Borussia Mönchengladbach,Bundesliga
Stefan Lainer,1992-08-27,Austria,Borussia Mönchengladbach,Bundesliga
Simon Walde,2005-01-04,Germany,Borussia Mönchengladbach,Bundesliga
Julian Weigl,1995-09-08,Germany,Borussia Mönchengladbach,Bundesliga
Christoph Kramer,1991-02-19,Germany,Borussia Mönchengladbach,Bundesliga
Manu Koné,2001-05-17,France,Borussia Mönchengladbach,Bundesliga
Florian Neuhaus,1997-03-16,Germany,Borussia Mönchengladbach,Bundesliga
Oscar Fraulo,2003-12-06,Denmark,Borussia Mönchengladbach,Bundesliga
Rocco Reitz,2002-05-29,Germany,Borussia Mönchengladbach,Bundesliga
Robin Hack,1998-08-27,Germany,Borussia Mönchengladbach,Bundesliga
Hannes Wolf,1999-04-16,Austria,Borussia Mönchengladbach,Bundesliga
Yvandro Borges Sanches,2004-05-24,Luxembourg,Borussia Mönchengladbach,Bundesliga
Franck Honorat,1996-08-11,France,Borussia Mönchengladbach,Bundesliga
Nathan Ngoumou,2000-03-14,France,Borussia Mönchengladbach,Bundesliga
Patrick Herrmann,1991-02-12,Germany,Borussia Mönchengladbach,Bundesliga
Alassane Plea,1993-03-10,France,Borussia Mönchengladbach,Bundesliga
Tomas Cvancara,2000-08-13,Czech Republic,Borussia Mönchengladbach,Bundesliga
Grant-Leon Ranos,2003-07-20,Armenia,Borussia Mönchengladbach,Bundesliga
Semir Telalovic,1999-12-23,Germany,Borussia Mönchengladbach,Bundesliga
Frederik Rönnow,1992-08-04,Denmark,1.FC Union Berlin,Bundesliga
Alexander Schwolow,1992-06-02,Germany,1.FC Union Berlin,Bundesliga
Jakob Busk,1993-09-12,Denmark,1.FC Union Berlin,Bundesliga
Yannic Stein,2004-09-17,Germany,1.FC Union Berlin,Bundesliga
Danilho Doekhi,1998-06-30,Netherlands,1.FC Union Berlin,Bundesliga
Diogo Leite,1999-01-23,Portugal,1.FC Union Berlin,Bundesliga
Paul Jaeckel,1998-07-22,Germany,1.FC Union Berlin,Bundesliga
Robin Knoche,1992-05-22,Germany,1.FC Union Berlin,Bundesliga
Dominique Heintz,1993-08-15,Germany,1.FC Union Berlin,Bundesliga
Mathis Bruns,2004-03-31,Germany,1.FC Union Berlin,Bundesliga
Jérôme Roussillon,1993-01-06,Guadeloupe,1.FC Union Berlin,Bundesliga
Josip Juranovic,1995-08-16,Croatia,1.FC Union Berlin,Bundesliga
Christopher Trimmel,1987-02-24,Austria,1.FC Union Berlin,Bundesliga
Rani Khedira,1994-01-27,Germany,1.FC Union Berlin,Bundesliga
Lucas Tousart,1997-04-29,France,1.FC Union Berlin,Bundesliga
Alex Kral,1998-05-19,Czech Republic,1.FC Union Berlin,Bundesliga
Aljoscha Kemlein,2004-08-02,Germany,1.FC Union Berlin,Bundesliga
Janik Haberer,1994-04-02,Germany,1.FC Union Berlin,Bundesliga
Aïssa Laïdouni,1996-12-13,Tunisia,1.FC Union Berlin,Bundesliga
András Schäfer,1999-04-13,Hungary,1.FC Union Berlin,Bundesliga
Laurenz Dehl,2001-12-12,Germany,1.FC Union Berlin,Bundesliga
Brenden Aaronson,2000-10-22,United States,1.FC Union Berlin,Bundesliga
Milos Pantovic,1996-07-07,Serbia,1.FC Union Berlin,Bundesliga
Tim Skarke,1996-09-07,Germany,1.FC Union Berlin,Bundesliga
Sheraldo Becker,1995-02-09,Suriname,1.FC Union Berlin,Bundesliga
David-Datro Fofana,2002-12-22,Cote d'Ivoire,1.FC Union Berlin,Bundesliga
Jordan,1996-04-26,United States,1.FC Union Berlin,Bundesliga
Mikkel Kaufmann,2001-01-03,Denmark,1.FC Union Berlin,Bundesliga
Kevin Behrens,1991-02-03,Germany,1.FC Union Berlin,Bundesliga
Benedict Hollerbach,2001-05-17,Germany,1.FC Union Berlin,Bundesliga
Malick Sanogo,2004-06-30,United States,1.FC Union Berlin,Bundesliga
Noah Atubolu,2002-05-25,Germany,SC Freiburg,Bundesliga
Florian Müller,1997-11-13,Germany,SC Freiburg,Bundesliga
Benjamin Uphoff,1993-08-08,Germany,SC Freiburg,Bundesliga
Philipp Lienhart,1996-07-11,Austria,SC Freiburg,Bundesliga
Matthias Ginter,1994-01-19,Germany,SC Freiburg,Bundesliga
Kenneth Schmidt,2002-06-03,Germany,SC Freiburg,Bundesliga
Keven Schlotterbeck,1997-04-28,Germany,SC Freiburg,Bundesliga
Manuel Gulde,1991-02-12,Germany,SC Freiburg,Bundesliga
Max Rosenfelder,2003-02-10,Germany,SC Freiburg,Bundesliga
Christian Günter,1993-02-28,Germany,SC Freiburg,Bundesliga
Jordy Makengo,2001-08-03,France,SC Freiburg,Bundesliga
Kiliann Sildillia,2002-05-16,France,SC Freiburg,Bundesliga
Lukas Kübler,1992-08-30,Germany,SC Freiburg,Bundesliga
Yannik Keitel,2000-02-15,Germany,SC Freiburg,Bundesliga
Nicolas Höfler,1990-03-09,Germany,SC Freiburg,Bundesliga
Maximilian Eggestein,1996-12-08,Germany,SC Freiburg,Bundesliga
Merlin Röhl,2002-07-05,Germany,SC Freiburg,Bundesliga
Daniel-Kofi Kyereh,1996-03-08,Ghana,SC Freiburg,Bundesliga
Vincenzo Grifo,1993-04-07,Italy,SC Freiburg,Bundesliga
Noah Weißhaupt,2001-09-20,Germany,SC Freiburg,Bundesliga
Ritsu Doan,1998-06-16,Japan,SC Freiburg,Bundesliga
Roland Sallai,1997-05-22,Hungary,SC Freiburg,Bundesliga
Junior Adamu,2001-06-06,Austria,SC Freiburg,Bundesliga
Michael Gregoritsch,1994-04-18,Austria,SC Freiburg,Bundesliga
Lucas Höler,1994-07-10,Germany,SC Freiburg,Bundesliga
Alexander Nübel,1996-09-30,Germany,VfB Stuttgart,Bundesliga
Fabian Bredlow,1995-03-02,Germany,VfB Stuttgart,Bundesliga
Dennis Seimen,2005-12-01,Germany,VfB Stuttgart,Bundesliga
Florian Schock,2001-05-22,Germany,VfB Stuttgart,Bundesliga
Konstantinos Mavropanos,1997-12-11,Greece,VfB Stuttgart,Bundesliga
Hiroki Ito,1999-05-12,Japan,VfB Stuttgart,Bundesliga
Waldemar Anton,1996-07-20,Germany,VfB Stuttgart,Bundesliga
Dan-Axel Zagadou,1999-06-03,France,VfB Stuttgart,Bundesliga
Clinton Mola,2001-03-15,England,VfB Stuttgart,Bundesliga
Borna Sosa,1998-01-21,Croatia,VfB Stuttgart,Bundesliga
Maximilian Mittelstädt,1997-03-18,Germany,VfB Stuttgart,Bundesliga
Josha Vagnoman,2000-12-11,Germany,VfB Stuttgart,Bundesliga
Pascal Stenzel,1996-03-20,Germany,VfB Stuttgart,Bundesliga
Wataru Endo,1993-02-09,Japan,VfB Stuttgart,Bundesliga
Atakan Karazor,1996-10-13,Germany,VfB Stuttgart,Bundesliga
Enzo Millot,2002-07-17,France,VfB Stuttgart,Bundesliga
Nikolas Nartey,2000-02-22,Denmark,VfB Stuttgart,Bundesliga
Roberto Massimo,2000-10-12,Germany,VfB Stuttgart,Bundesliga
Woo-yeong Jeong,1999-09-20,"Korea, South",VfB Stuttgart,Bundesliga
Lilian Egloff,2002-08-20,Germany,VfB Stuttgart,Bundesliga
Genki Haraguchi,1991-05-09,Japan,VfB Stuttgart,Bundesliga
Laurin Ulrich,2005-01-31,Germany,VfB Stuttgart,Bundesliga
Momo Cissé,2002-10-17,Guinea,VfB Stuttgart,Bundesliga
Silas,1998-10-06,DR Congo,VfB Stuttgart,Bundesliga
Gil Dias,1996-09-28,Portugal,VfB Stuttgart,Bundesliga
Chris Führich,1998-01-09,Germany,VfB Stuttgart,Bundesliga
Jamie Leweling,2001-02-26,Germany,VfB Stuttgart,Bundesliga
Serhou Guirassy,1996-03-12,Guinea,VfB Stuttgart,Bundesliga
Juan José Perea,2000-02-23,Colombia,VfB Stuttgart,Bundesliga
Luca Pfeiffer,1996-08-20,Germany,VfB Stuttgart,Bundesliga
Thomas Kastanaras,2003-01-09,Germany,VfB Stuttgart,Bundesliga
Mohamed Sankoh,2003-10-16,Netherlands,VfB Stuttgart,Bundesliga
Jovan Milosevic,2005-07-31,Serbia,VfB Stuttgart,Bundesliga
Alex Meret,1997-03-22,Italy,SSC Napoli,Serie A
Pierluigi Gollini,1995-03-18,Italy,SSC Napoli,Serie A
Nikita Contini,1996-05-21,Italy,SSC Napoli,Serie A
Hubert Idasiak,2002-02-03,Poland,SSC Napoli,Serie A
Amir Rrahmani,1994-02-24,Kosovo,SSC Napoli,Serie A
Leo Østigård,1999-11-28,Norway,SSC Napoli,Serie A
Juan Jesus,1991-06-10,Brazil,SSC Napoli,Serie A
Nosa Edward Obaretin,2003-01-26,Italy,SSC Napoli,Serie A
Mathías Olivera,1997-10-31,Uruguay,SSC Napoli,Serie A
Mário Rui,1991-05-27,Portugal,SSC Napoli,Serie A
Giovanni Di Lorenzo,1993-08-04,Italy,SSC Napoli,Serie A
Alessandro Zanoli,2000-10-03,Italy,SSC Napoli,Serie A
Stanislav Lobotka,1994-11-25,Slovakia,SSC Napoli,Serie A
Diego Demme,1991-11-21,Germany,SSC Napoli,Serie A
Frank Anguissa,1995-11-16,Cameroon,SSC Napoli,Serie A
Piotr Zielinski,1994-05-20,Poland,SSC Napoli,Serie A
Eljif Elmas,1999-09-24,North Macedonia,SSC Napoli,Serie A
Michael Folorunsho,1998-02-07,Italy,SSC Napoli,Serie A
Coli Saco,2002-05-15,Mali,SSC Napoli,Serie A
Karim Zedadka,2000-06-09,Algeria,SSC Napoli,Serie A
Gianluca Gaetano,2000-05-05,Italy,SSC Napoli,Serie A
Khvicha Kvaratskhelia,2001-02-12,Georgia,SSC Napoli,Serie A
Alessio Zerbin,1999-03-03,Italy,SSC Napoli,Serie A
Antonio Cioffi,2002-12-19,Italy,SSC Napoli,Serie A
Hirving Lozano,1995-07-30,Mexico,SSC Napoli,Serie A
Matteo Politano,1993-08-03,Italy,SSC Napoli,Serie A
Giacomo Raspadori,2000-02-18,Italy,SSC Napoli,Serie A
Victor Osimhen,1998-12-29,Nigeria,SSC Napoli,Serie A
Giovanni Simeone,1995-07-05,Argentina,SSC Napoli,Serie A
Mike Maignan,1995-07-03,France,AC Milan,Serie A
Marco Sportiello,1992-05-10,Italy,AC Milan,Serie A
